Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ba 233.527 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Cr 205.560 nm ppm,Cr 267.716 nm ppm,Cu 324.754 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,Ni 216.555 nm ppm,Ni 221.648 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Sr 421.552 nm ppm,Sr 460.733 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,V 326.769 nm ppm,Zn 202.548 nm ppm,Zn 213.857 nm ppm
Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ba 233.527 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Cr 205.560 nm ppm,Cr 267.716 nm ppm,Cu 324.754 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,Ni 216.555 nm ppm,Ni 221.648 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Sr 421.552 nm ppm,Sr 460.733 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm,V 326.769 nm ppm,Zn 202.548 nm ppm,Zn 213.857 nm ppm
01:01,Blank,22/01/2025 12:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:02,Standard 1,22/01/2025 13:00,1.54,1.54,,0.16,0.16,,,,--,--,0.77,0.77,0.16,0.16,0.16,0.16,0.16,0.16,,,0.16,0.16,,,0.16,0.16,,,
01:03,Standard 2,22/01/2025 13:02,3.08,3.08,,0.31,0.31,,,,0.3,0.3,1.54,1.54,0.31,0.31,0.31,0.31,0.31,0.31,,,0.31,0.31,,,0.31,0.31,,,
01:04,Standard 3,22/01/2025 13:04,6.23,6.23,,0.63,0.63,,,,0.61,0.61,3.1,3.1,0.63,0.63,0.63,0.63,0.63,0.63,,,0.63,0.63,,,0.63,0.63,,,
01:05,Standard 4,22/01/2025 13:06,12.6,12.6,,1.27,1.27,,,,1.24,1.24,6.28,6.28,1.27,1.27,1.27,1.27,1.28,1.28,,,1.27,1.27,,,1.27,1.27,,,
01:06,Standard 5,22/01/2025 13:08,25.04,25.04,,2.53,2.53,,,,2.46,2.46,12.48,12.48,2.53,2.53,2.52,2.52,2.54,2.54,,,2.52,2.52,,,2.52,2.52,,,
01:07,Standard 6,22/01/2025 13:10,50.4,50.4,,5.09,5.09,,,,4.96,4.96,25.12,--,5.09,5.09,5.06,5.06,5.11,--,,,5.08,5.08,,,5.06,5.06,,,
01:08,Standard 7,22/01/2025 13:12,,,0.15,,,0.15,0.15,0.15,,,,,,,,,,,0.15,0.15,,,0.15,0.15,,,--,0.15,0.15
01:09,Standard 8,22/01/2025 13:14,,,0.3,,,0.3,0.3,0.3,,,,,,,,,,,0.3,0.3,,,0.3,0.3,,,--,0.3,0.3
01:10,Standard 9,22/01/2025 13:16,,,0.61,,,0.61,0.61,0.61,,,,,,,,,,,0.61,0.61,,,0.61,0.61,,,--,0.61,0.61
